epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2407.55,0.858,1.69651,2.91872,0.01324,2.0859,0.56009,0.47151,0.47427,0.40433,0.56092,0.48074,0.48575,0.3849,0.68989,1.27581,1.77977,0.0216,0,0.000398587,0.000398587,0.067183
2,4732.74,0.84306,1.32702,1.52966,0.01325,0.75402,0.72154,0.64975,0.72859,0.60808,0.72255,0.65441,0.7362,0.58917,0.68348,0.96695,1.02051,0.02177,0,0.000798463,0.000798463,0.0342496
3,7079.93,0.79958,1.22091,1.24554,0.0126,0.59737,0.69776,0.75765,0.78379,0.66279,0.71671,0.75904,0.79976,0.66272,0.66432,0.87366,0.84526,0.0211,0,0.00119785,0.00119785,0.00131563
4,9295.72,0.77609,1.17033,1.12503,0.01176,0.47816,0.80187,0.81084,0.85183,0.75469,0.808,0.81971,0.86373,0.71858,0.56432,0.90071,0.66253,0.01786,0,0.00119834,0.00119834,0.00119834
5,11337.5,0.75875,1.14349,1.02523,0.01163,0.42336,0.78583,0.82487,0.87553,0.76333,0.79452,0.83345,0.88715,0.7575,0.59157,0.8504,0.66496,0.0193,0,0.00119704,0.00119704,0.00119704
6,13474.2,0.71994,1.0942,0.95586,0.01098,0.36977,0.84615,0.83817,0.89216,0.80385,0.86258,0.84981,0.91114,0.78107,0.51969,0.75044,0.51354,0.01603,0,0.00119538,0.00119538,0.00119538
7,15296.3,0.70069,1.08723,0.90952,0.01071,0.35132,0.85687,0.8724,0.90505,0.7828,0.86498,0.88049,0.91443,0.77842,0.60675,0.74135,0.47763,0.01968,0,0.00119335,0.00119335,0.00119335
8,17207.4,0.69175,1.05106,0.86881,0.01042,0.32679,0.86781,0.83573,0.91284,0.81136,0.87418,0.84393,0.91783,0.7722,0.54826,0.92159,0.57539,0.01671,0,0.00119096,0.00119096,0.00119096
9,19040.8,0.67366,1.02538,0.82924,0.01022,0.30077,0.89349,0.84758,0.91896,0.84085,0.90316,0.86329,0.93064,0.80477,0.45279,0.76467,0.46175,0.01391,0,0.0011882,0.0011882,0.0011882
10,21076.8,0.65043,1.00583,0.80539,0.00959,0.28398,0.84965,0.92038,0.9387,0.85701,0.85543,0.92564,0.94586,0.82626,0.43996,0.69504,0.3909,0.01352,0,0.00118508,0.00118508,0.00118508
11,23018,0.63404,0.95238,0.71651,0.00942,0.25627,0.89941,0.85739,0.92041,0.85457,0.91576,0.87251,0.93594,0.82045,0.43003,0.69458,0.44191,0.01336,0,0.0011816,0.0011816,0.0011816
12,24472,0.62986,0.96084,0.70941,0.00933,0.25288,0.93134,0.86915,0.92617,0.86083,0.93848,0.87866,0.93482,0.81708,0.42893,0.68752,0.39875,0.01332,0,0.00117776,0.00117776,0.00117776
13,25943,0.61307,0.94882,0.70208,0.00888,0.24781,0.92572,0.89971,0.93982,0.86383,0.93463,0.90729,0.94825,0.83209,0.44754,0.66433,0.38893,0.01373,0,0.00117357,0.00117357,0.00117357
14,27462.3,0.61369,0.9474,0.71475,0.00893,0.23922,0.89737,0.89127,0.93988,0.87091,0.90433,0.89619,0.94201,0.83969,0.42083,0.66058,0.36391,0.01284,0,0.00116903,0.00116903,0.00116903
15,29299.1,0.60112,0.94074,0.67551,0.00875,0.22211,0.90384,0.89271,0.94074,0.88708,0.9106,0.90246,0.94906,0.84342,0.38123,0.64769,0.38144,0.01143,0,0.00116413,0.00116413,0.00116413
16,30803.4,0.59183,0.93717,0.66125,0.00855,0.2216,0.90167,0.89005,0.93407,0.86875,0.90886,0.90303,0.94396,0.84066,0.42887,0.66006,0.40118,0.0129,0,0.00115889,0.00115889,0.00115889
17,32367.6,0.58692,0.92959,0.65277,0.00862,0.21274,0.90545,0.91566,0.9423,0.87488,0.91359,0.92312,0.94917,0.8537,0.4208,0.64528,0.3676,0.01339,0,0.00115331,0.00115331,0.00115331
18,34055.8,0.58074,0.90421,0.64661,0.00842,0.21306,0.92916,0.91017,0.94496,0.88077,0.9332,0.91411,0.94989,0.84226,0.38173,0.66822,0.36886,0.01159,0,0.0011474,0.0011474,0.0011474
19,35651.1,0.57926,0.89924,0.63835,0.00837,0.19863,0.89118,0.90634,0.9443,0.89709,0.90179,0.91556,0.95249,0.86042,0.36579,0.6124,0.3433,0.01083,0,0.00114114,0.00114114,0.00114114
20,37304,0.56895,0.89607,0.60469,0.00828,0.19828,0.92463,0.89936,0.94174,0.88836,0.93579,0.90981,0.94828,0.86045,0.39097,0.62446,0.35594,0.01244,0,0.00113456,0.00113456,0.00113456
21,38815.2,0.54583,0.87544,0.59798,0.00782,0.19594,0.949,0.92947,0.95846,0.90992,0.95212,0.93316,0.9604,0.87765,0.36213,0.61572,0.30196,0.01103,0,0.00112765,0.00112765,0.00112765
22,40519.4,0.56488,0.90598,0.6042,0.00828,0.19527,0.93926,0.90142,0.95716,0.90204,0.95308,0.90699,0.96544,0.88097,0.39375,0.62954,0.3261,0.01201,0,0.00112043,0.00112043,0.00112043
23,42133,0.55189,0.89204,0.59365,0.00805,0.18944,0.92159,0.91636,0.95716,0.91007,0.94404,0.91856,0.96616,0.86623,0.36834,0.62947,0.30767,0.01097,0,0.00111288,0.00111288,0.00111288
24,43812.1,0.55041,0.8668,0.58308,0.00789,0.1816,0.93747,0.89277,0.94291,0.87548,0.94342,0.90145,0.94942,0.83181,0.42584,0.62709,0.34572,0.01325,0,0.00110503,0.00110503,0.00110503
25,45434.2,0.54097,0.84952,0.57269,0.00773,0.17966,0.9424,0.91888,0.95443,0.90939,0.94742,0.9241,0.96039,0.86758,0.36447,0.63591,0.31126,0.01071,0,0.00109687,0.00109687,0.00109687
26,47089.2,0.54444,0.88874,0.57211,0.00764,0.18399,0.93947,0.90435,0.9566,0.91432,0.94671,0.91082,0.96196,0.86662,0.36062,0.60521,0.29483,0.01104,0,0.00108841,0.00108841,0.00108841
27,48691.5,0.51851,0.80841,0.5476,0.00737,0.16965,0.94565,0.91565,0.94929,0.90806,0.95105,0.92123,0.95592,0.87649,0.34097,0.60923,0.31748,0.01032,0,0.00107966,0.00107966,0.00107966
28,50226.8,0.5357,0.84235,0.55978,0.00758,0.17266,0.94703,0.92152,0.95963,0.91774,0.95168,0.92447,0.96552,0.88148,0.33459,0.62097,0.30964,0.0102,0,0.00107062,0.00107062,0.00107062
29,51793,0.51117,0.82988,0.52849,0.00723,0.16075,0.95202,0.90349,0.94942,0.91052,0.95911,0.91034,0.95546,0.86834,0.33961,0.61106,0.29101,0.00997,0,0.0010613,0.0010613,0.0010613
30,53415,0.52004,0.82894,0.54073,0.00732,0.16423,0.93398,0.92475,0.95672,0.91925,0.94041,0.93121,0.96215,0.87955,0.32332,0.62101,0.29929,0.00949,0,0.0010517,0.0010517,0.0010517
31,55048.8,0.51186,0.8544,0.53462,0.00718,0.16585,0.93103,0.90639,0.9541,0.91826,0.92927,0.92928,0.96077,0.88063,0.32738,0.58852,0.30511,0.00985,0,0.00104184,0.00104184,0.00104184
32,56736.2,0.50861,0.83676,0.52261,0.00717,0.16277,0.94466,0.94218,0.95937,0.91731,0.95166,0.94721,0.96484,0.87594,0.34734,0.58835,0.2826,0.01039,0,0.00103171,0.00103171,0.00103171
33,58280.6,0.49409,0.78337,0.50686,0.00684,0.15586,0.9497,0.93837,0.96249,0.93162,0.95474,0.94232,0.96791,0.89218,0.31125,0.57575,0.2554,0.00929,0,0.00102133,0.00102133,0.00102133
34,59827.6,0.49477,0.81219,0.49944,0.00698,0.15547,0.94367,0.92653,0.9596,0.92843,0.94961,0.93473,0.96642,0.8864,0.30679,0.61462,0.27146,0.00895,0,0.0010107,0.0010107,0.0010107
35,61574.6,0.48786,0.80587,0.484,0.00684,0.1483,0.95959,0.91926,0.95577,0.92199,0.96806,0.92624,0.96346,0.8855,0.31935,0.59286,0.2796,0.00976,0,0.000999833,0.000999833,0.000999833
36,63070.8,0.50147,0.81267,0.50713,0.00703,0.1549,0.9306,0.93998,0.95897,0.92673,0.94553,0.94093,0.96542,0.89078,0.3248,0.59132,0.28169,0.00982,0,0.000988731,0.000988731,0.000988731
37,64826.5,0.49015,0.8153,0.49412,0.00686,0.1489,0.93555,0.9293,0.95659,0.91972,0.9403,0.93662,0.96388,0.88519,0.33475,0.59114,0.29511,0.0105,0,0.000977404,0.000977404,0.000977404
38,66578.6,0.49166,0.8205,0.50924,0.00692,0.15176,0.93442,0.9446,0.96256,0.93082,0.94108,0.94971,0.9673,0.88489,0.31545,0.59465,0.27328,0.00956,0,0.000965859,0.000965859,0.000965859
39,68155.7,0.47823,0.78866,0.48451,0.00669,0.15177,0.95015,0.93959,0.96496,0.93669,0.95725,0.94633,0.96901,0.89749,0.30021,0.59082,0.24989,0.00885,0,0.000954105,0.000954105,0.000954105
40,69826.8,0.47897,0.79554,0.47524,0.00663,0.14185,0.95739,0.93572,0.96197,0.93111,0.96244,0.94127,0.96741,0.89217,0.30439,0.57754,0.24593,0.00918,0,0.000942149,0.000942149,0.000942149
