product,fitness,box_map50_95,mask_map50_95
ONE_RAW,0.93007,0.51854,0.41153
Dexamol_500_16_pil,1.42919,0.75734,0.67185
Fenistil_Gel_0.1%,1.51916,0.80074,0.71842
Advil_Liqui-Gels_200_16_pil,1.52112,0.78691,0.73422
Acomol_500_16_pil,1.59761,0.83929,0.75833
Nurofen_For_Children_20Mg_Orange,1.60495,0.82178,0.78316
EMPTY_PUSHER_PRODUCT,1.61116,0.92069,0.69047
Acomol_Paracetamol_500_14_pil,1.63184,0.84701,0.78483
Nurofen_Liquid_Capsules_200_16_pil_new,1.67391,0.89328,0.78064
Agisten_Aloevera_Cream_01%,1.68868,0.89644,0.79224
Bepanthen_Plus_Cream_30G,1.70765,0.88173,0.82592
Otrivin,1.70793,0.84209,0.86584
Nurofen_Liquid_Capsules_200_10_pil_new,1.72647,0.90904,0.81743
Nurofen_For_Children_20Mg_Strawberry,1.74781,0.86470,0.88311
Voltaren_emulgel_1%,1.75810,0.90304,0.85506
Nurofen_Tablets_200_mg,1.76603,0.89987,0.86616
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.77923,0.89804,0.88119
Zovirax_Aciclovir_5%_ww,1.85576,0.93998,0.91578
Strepsils_honey_and_lemon,1.86648,0.94968,0.91680
Otrivin_Mentol,1.87457,0.94344,0.93113
Acomol_teva_10_caplets_500_mg,1.87881,0.93069,0.94812
Rennie_Peppermint_48_pil,1.90868,0.96925,0.93943
Tums_Smoothies_EX_Berry_fusion,1.91679,0.97597,0.94083
Nerven_20_pil,1.94085,0.98911,0.95174
Lemocin_Lemon_24_pil,1.98733,1.00000,0.98733
